truth_source,foursquare_sim,foursquare_exact,foursquare_present,meta_sim,meta_exact,meta_present,microsoft_sim,microsoft_exact,microsoft_present
meta,0,0,0,1,1,1,1,1,1
meta,0,0,1,1,1,1,0,0,0
meta,0,0,0,1,1,1,0,0,1
meta,0,0,0,1,1,1,1,1,1
foursquare,1,1,1,0,0,1,0,0,1
microsoft,0,0,0,0,0,0,1,1,1
meta,0,0,0,1,1,1,1,1,1
foursquare,1,1,1,0,0,1,0,0,0
microsoft,0,0,0,0,0,0,1,1,1
meta,0,0,0,1,1,1,1,1,1
microsoft,0,0,0,0,0,1,1,1,1
microsoft,0,0,0,0,0,0,1,1,1
meta,0,0,0,1,1,1,1,1,1
meta,0,0,0,0,0,1,1,1,1
meta,0,0,1,1,1,1,1,1,1
meta,0,0,1,1,1,1,0,0,0
meta,0,0,0,0,0,1,1,1,1
microsoft,0,0,0,0,0,0,1,1,1
microsoft,0,0,0,0,0,0,1,1,1
microsoft,0,0,0,0,0,0,1,1,1
microsoft,0,0,0,0,0,0,1,1,1
microsoft,0,0,0,0,0,0,1,1,1
microsoft,0,0,0,0,0,0,1,1,1
microsoft,0,0,0,0,0,0,1,1,1
microsoft,0,0,0,0,0,0,1,1,1
microsoft,0,0,0,0,0,0,1,1,1
